"Customer","POS NO","PO NO","Standard","Destination","POS Receive Date","POS Delivery Date","Model/Type","Description","XXS","XS (48)","XS/S","S(50)","M(52)","L(54)","XL(56)","XXL","3XL","4XL","S/M","L/XL","Other"
"INFINITE SERV","118","HA-13 REV2","SNI","PHILIPPINES","Monday, 23 July 2018","30 July 2018","KYT VENDETTA2","CARBON RED FLUO","","","","","18","18","6","","","","","",""
"INFINITE SERV","118","HA-13 REV2","SNI","PHILIPPINES","Monday, 23 July 2018","30 July 2018","KYT VENDETTA2","CARBON YELLOW FLUO","","","","","18","18","6","","","","","",""
"INFINITE SERV","149","HA-14 REV1","SNI","PHILIPPINES","Monday, 23 July 2018","30 August 2018","KYT VENDETTA2","ROSSO MUGELLO REPLICA (NO DUCATI LOGO)","","","","6","12","12","12","","","","","",""
"INFINITE SERV","149","HA-14 REV1","SNI","PHILIPPINES","Monday, 23 July 2018","30 August 2018","KYT NFR","PLAIN MATT BLACK","","","","","16","16","10","","","","","",""
"INFINITE SERV","149","HA-14 REV1","SNI","PHILIPPINES","Monday, 23 July 2018","30 August 2018","KYT K2 RIDER","#1 WHITE/RED FLUO (FROM R-10)","","","","","12","18","12","","","","","",""
"INFINITE SERV","149","HA-14 REV1","SNI","PHILIPPINES","Monday, 23 July 2018","30 August 2018","KYT RC SEVEN","#3 BLACK/WHITE/RED FLUO","","","","","18","18","6","","","","","",""
"INFINITE SERV","149","HA-14 REV1","SNI","PHILIPPINES","Monday, 23 July 2018","30 August 2018","KYT VENOM OPEN","THITIPONG REPLICA 2016","","","","","18","18","6","","","","","",""
"INFINITE SERV","149","HA-14 REV1","SNI","PHILIPPINES","Monday, 23 July 2018","30 August 2018","KYT VENOM OPEN","ESPARGARO REPLICA 2017 FUXIA","","","","","18","18","6","","","","","",""
"INFINITE SERV","161 ","HA-15","SNI","PHILIPPINES","Monday, 23 July 2018","30 August 2018","KYT NFR","PLAIN MATT BLACK","","","","","15","15","12","","","","","",""
"INFINITE SERV","149","HA-14 REV1","SNI","PHILIPPINES","Monday, 23 July 2018","30 August 2018","KYT VENDETTA2","XAVIER SIMEON REPLICA 2014","","","","","9","15","15","","","","","",""
"INFINITE SERV","161 ","HA-15","SNI","PHILIPPINES","Monday, 23 July 2018","30 August 2018","KYT VENOM OPEN","ANDREA LOCATELLI REPLICA 2016","","","","","15","15","9","","","","","",""
